Order #,Service,Was package delivered,Cost to deliver
72,UPS SurePost,1,9.48
73,UPS Ground,1,7.04
74,UPS SurePost,1,10.8
75,UPS Ground,0,11.1
76,UPS SurePost,1,6.85
77,UPS SurePost,1,5.07
78,UPS SurePost,1,7.31
79,UPS Ground,1,9.58
80,UPS SurePost,1,13.47
81,UPS Ground,1,10.94
82,UPS SurePost,1,5.87
83,UPS Ground,1,8.81
84,UPS SurePost,1,8.91
85,UPS Ground,1,10.44
86,UPS Ground,1,7.72
87,UPS SurePost,1,8.77
88,UPS Ground,1,8.76
89,UPS SurePost,1,7.09
90,UPS SurePost,1,9.45
91,UPS SurePost,1,10.34
92,UPS SurePost,1,10.46
93,UPS SurePost,1,9.99
94,UPS SurePost,1,8.14
95,UPS SurePost,1,10.24
96,UPS SurePost,1,9.54
97,UPS SurePost,1,9.23
98,UPS SurePost,1,7.94
99,UPS SurePost,1,8.14
100,UPS Ground,1,10.13
101,UPS Ground,1,14.23
102,UPS SurePost,1,9.52
103,UPS SurePost,1,7.94
104,UPS SurePost,1,7.56
105,UPS SurePost,1,8.15
106,UPS SurePost,1,12.77
107,UPS SurePost,1,8.31
108,UPS SurePost,1,10.57
109,UPS SurePost,1,8.35
110,UPS Ground,0,10.45
111,UPS SurePost,0,10.37
112,UPS Ground,1,9.01
113,UPS SurePost,1,7.89
114,UPS SurePost,1,11.87
115,UPS Ground,1,11.71
116,UPS SurePost,1,10.37
117,UPS Ground,1,11.36
118,UPS SurePost,1,9.8
119,UPS SurePost,1,12.49
120,UPS Ground,1,10.08
121,UPS SurePost,1,10.0
122,UPS Ground,1,7.49
123,UPS SurePost,1,7.57
124,UPS Ground,1,7.92
125,UPS Ground,1,12.21
126,UPS SurePost,1,4.58
127,UPS SurePost,1,8.3
128,UPS Ground,1,4.81
129,UPS SurePost,1,7.56
130,UPS SurePost,1,8.15
131,UPS SurePost,1,11.4
132,UPS Ground,1,10.69
133,UPS Ground,1,8.56
134,UPS Ground,1,11.85
135,UPS Ground,0,10.03
136,UPS Ground,1,10.07
137,UPS Ground,1,7.92
138,UPS Ground,1,8.29
139,UPS Ground,1,8.57
140,UPS Ground,1,10.08
141,UPS SurePost,1,9.13
142,UPS Ground,1,12.67
143,UPS SurePost,1,9.67
144,UPS SurePost,1,4.31
145,UPS SurePost,1,9.45
146,UPS Ground,1,7.49
147,UPS Ground,1,8.33
148,UPS Ground,1,8.59
149,UPS Ground,1,8.85
150,UPS SurePost,1,6.62
151,UPS Ground,1,10.35
152,UPS Ground,1,7.56
153,UPS Ground,1,10.62
154,UPS Ground,1,13.87
155,UPS Ground,1,7.7
156,UPS SurePost,1,8.51
157,UPS Ground,1,5.63
158,UPS SurePost,1,8.48
159,UPS Ground,1,11.11
160,UPS SurePost,1,10.25
161,UPS Ground,1,10.13
162,UPS Ground,1,11.54
163,UPS SurePost,1,13.41
164,UPS SurePost,1,11.97
165,UPS SurePost,1,8.09
166,UPS Ground,0,7.49
167,UPS SurePost,1,8.3
168,UPS Ground,1,8.36
169,UPS Ground,1,10.78
170,UPS SurePost,1,6.95
171,UPS SurePost,1,8.87
172,UPS Ground,1,11.45
173,UPS Ground,1,9.83
174,UPS SurePost,1,7.36
175,UPS SurePost,1,11.03
176,UPS SurePost,1,5.75
177,UPS Ground,1,9.43
178,UPS Ground,1,9.93
179,UPS Ground,1,10.03
180,UPS Ground,1,10.31
181,UPS Ground,1,11.06
182,UPS Ground,1,9.94
183,UPS SurePost,1,8.36
184,UPS Ground,1,9.29
185,UPS Ground,1,8.94
186,UPS Ground,1,11.36
187,UPS SurePost,1,7.88
188,UPS Ground,1,11.47
189,UPS Ground,1,10.03
190,UPS SurePost,1,8.1
191,UPS Ground,1,11.07
192,UPS Ground,1,8.74
193,UPS Ground,1,11.11
194,UPS Ground,1,10.37
195,UPS Ground,1,8.97
196,UPS SurePost,1,9.92
197,UPS SurePost,1,9.95
198,UPS SurePost,1,11.0
199,UPS Ground,1,11.67
200,UPS Ground,1,10.85
201,UPS Ground,1,8.05
202,UPS SurePost,0,13.24
203,UPS Ground,1,7.57
204,UPS Ground,1,11.64
205,UPS SurePost,0,9.75
206,UPS Ground,1,7.97
207,UPS SurePost,1,8.78
208,UPS SurePost,1,8.86
209,UPS SurePost,1,11.26
210,UPS Ground,1,8.76
211,UPS Ground,1,9.55
212,UPS Ground,1,5.95
213,UPS Ground,1,13.0
214,UPS Ground,1,8.15
215,UPS Ground,1,10.57
216,UPS Ground,1,9.82
217,UPS SurePost,1,8.83
218,UPS Ground,1,11.4
219,UPS SurePost,1,11.89
220,UPS Ground,1,10.44
221,UPS Ground,1,11.13
222,UPS Ground,1,10.57
223,UPS SurePost,1,10.76
224,UPS SurePost,1,8.2
225,UPS SurePost,1,10.86
226,UPS SurePost,1,10.92
227,UPS Ground,1,11.88
228,UPS SurePost,1,7.86
229,UPS Ground,1,9.71
230,UPS Ground,1,10.41
231,UPS SurePost,1,6.63
232,UPS SurePost,1,11.76
233,UPS SurePost,1,8.98
234,UPS SurePost,1,9.49
235,UPS SurePost,1,8.0
236,UPS SurePost,1,6.7
237,UPS SurePost,1,7.95
238,UPS SurePost,1,9.38
239,UPS Ground,1,11.17
240,UPS SurePost,1,9.28
241,UPS SurePost,0,9.6
242,UPS Ground,1,9.42
243,UPS SurePost,1,9.86
244,UPS Ground,1,12.57
245,UPS Ground,1,11.22
246,UPS SurePost,1,10.4
247,UPS Ground,1,10.51
248,UPS Ground,1,7.4
249,UPS Ground,1,8.19
250,UPS Ground,1,10.79
251,UPS SurePost,1,8.98
252,UPS Ground,0,10.76
253,UPS SurePost,1,11.9
254,UPS Ground,1,11.26
255,UPS Ground,1,12.18
256,UPS Ground,1,10.16
257,UPS Ground,1,8.6
258,UPS SurePost,1,8.9
259,UPS SurePost,1,7.61
260,UPS Ground,1,12.7
261,UPS Ground,1,11.37
262,UPS SurePost,1,9.9
263,UPS Ground,1,12.14
264,UPS Ground,1,6.5
265,UPS Ground,0,11.02
266,UPS SurePost,1,6.73
267,UPS SurePost,1,8.99
268,UPS SurePost,1,8.46
269,UPS Ground,1,11.15
270,UPS Ground,1,10.4
271,UPS SurePost,1,11.33
272,UPS SurePost,1,7.96
273,UPS SurePost,1,10.23
274,UPS SurePost,1,9.28
275,UPS Ground,1,7.17
276,UPS SurePost,1,7.41
277,UPS Ground,1,9.74
278,UPS SurePost,1,10.93
279,UPS Ground,1,10.8
280,UPS SurePost,1,6.98
281,UPS SurePost,0,8.76
282,UPS SurePost,1,12.49
283,UPS SurePost,1,9.19
284,UPS Ground,1,9.43
285,UPS SurePost,1,9.85
286,UPS Ground,1,11.32
287,UPS Ground,0,9.21
288,UPS Ground,1,10.87
289,UPS Ground,1,9.43
290,UPS SurePost,1,10.25
291,UPS Ground,1,10.29
292,UPS Ground,1,10.83
293,UPS Ground,1,8.69
294,UPS SurePost,1,7.58
295,UPS SurePost,1,10.64
296,UPS SurePost,1,8.86
297,UPS SurePost,1,9.49
298,UPS Ground,1,9.47
299,UPS Ground,1,11.56
300,UPS SurePost,1,7.95
301,UPS Ground,1,9.77
302,UPS Ground,1,11.36
303,UPS Ground,1,12.03
304,UPS SurePost,1,8.09
305,UPS SurePost,1,12.39
306,UPS Ground,1,10.54
307,UPS SurePost,1,7.19
308,UPS SurePost,1,9.64
309,UPS SurePost,1,8.34
310,UPS SurePost,1,9.75
311,UPS SurePost,1,8.93
312,UPS Ground,1,10.13
313,UPS SurePost,1,7.42
314,UPS Ground,0,11.71
315,UPS Ground,1,8.0
316,UPS SurePost,1,7.08
317,UPS Ground,1,10.64
318,UPS Ground,0,12.78
319,UPS Ground,1,9.39
320,UPS SurePost,1,10.21
321,UPS SurePost,1,10.86
322,UPS Ground,1,11.41
323,UPS SurePost,1,8.46
324,UPS SurePost,0,7.11
325,UPS SurePost,1,5.18
326,UPS SurePost,1,8.54
327,UPS Ground,1,12.04
328,UPS Ground,1,8.05
329,UPS SurePost,1,10.21
330,UPS SurePost,1,7.35
331,UPS Ground,1,10.18
332,UPS Ground,1,11.23
333,UPS SurePost,1,7.86
334,UPS Ground,1,10.3
335,UPS SurePost,0,8.28
336,UPS SurePost,1,10.22
337,UPS Ground,1,10.41
338,UPS Ground,1,10.1
339,UPS SurePost,1,11.7
340,UPS SurePost,1,10.15
341,UPS Ground,1,8.8
342,UPS SurePost,1,8.85
343,UPS Ground,1,9.87
344,UPS SurePost,1,9.14
345,UPS Ground,0,14.37
346,UPS Ground,1,10.64
347,UPS Ground,1,6.47
348,UPS SurePost,1,8.06
349,UPS SurePost,1,5.65
350,UPS Ground,1,9.43
351,UPS SurePost,1,5.56
352,UPS Ground,0,8.49
353,UPS Ground,1,7.37
354,UPS SurePost,1,9.67
355,UPS SurePost,1,9.0
356,UPS Ground,1,10.52
357,UPS SurePost,1,8.82
358,UPS SurePost,0,6.59
359,UPS Ground,1,10.89
360,UPS Ground,1,13.33
361,UPS SurePost,1,9.71
362,UPS Ground,1,9.26
363,UPS Ground,1,7.53
364,UPS SurePost,1,7.43
365,UPS Ground,1,10.78
366,UPS Ground,0,11.86
367,UPS SurePost,1,9.45
368,UPS SurePost,1,10.39
369,UPS Ground,1,11.23
370,UPS Ground,1,10.88
371,UPS SurePost,1,7.86
372,UPS SurePost,1,9.3
373,UPS SurePost,1,7.53
374,UPS SurePost,1,9.03
375,UPS Ground,1,10.57
376,UPS SurePost,1,11.91
377,UPS SurePost,1,6.73
378,UPS Ground,1,10.83
379,UPS SurePost,1,11.57
380,UPS Ground,1,11.31
381,UPS SurePost,1,10.44
382,UPS SurePost,1,10.02
383,UPS SurePost,1,11.25
384,UPS Ground,1,8.12
385,UPS Ground,1,7.6
386,UPS SurePost,1,8.99
387,UPS Ground,1,6.26
388,UPS Ground,0,12.13
389,UPS Ground,1,12.11
390,UPS Ground,1,9.25
391,UPS Ground,1,9.36
392,UPS Ground,1,9.87
393,UPS SurePost,1,9.09
394,UPS SurePost,1,9.22
395,UPS Ground,1,10.97
396,UPS SurePost,1,8.7
397,UPS SurePost,1,10.63
398,UPS SurePost,1,9.77
399,UPS SurePost,1,7.95
400,UPS Ground,1,12.31
401,UPS SurePost,1,6.65
402,UPS SurePost,0,8.84
403,UPS Ground,0,11.67
404,UPS Ground,1,8.75
405,UPS SurePost,1,9.54
406,UPS SurePost,1,9.94
407,UPS SurePost,0,7.51
408,UPS SurePost,1,8.87
409,UPS SurePost,1,8.73
410,UPS SurePost,1,8.04
411,UPS Ground,1,13.99
412,UPS SurePost,1,7.68
413,UPS SurePost,1,10.74
414,UPS Ground,1,9.32
415,UPS Ground,1,8.12
416,UPS Ground,1,10.18
417,UPS Ground,1,11.12
418,UPS SurePost,1,10.59
419,UPS SurePost,1,11.71
420,UPS SurePost,1,14.1
421,UPS SurePost,1,9.43
422,UPS SurePost,1,7.85
423,UPS SurePost,0,9.78
424,UPS Ground,1,9.54
425,UPS SurePost,1,10.6
426,UPS Ground,1,7.75
427,UPS Ground,0,14.1
428,UPS SurePost,1,10.48
429,UPS Ground,1,7.08
430,UPS SurePost,1,7.77
431,UPS Ground,1,11.41
432,UPS SurePost,1,11.04
433,UPS Ground,1,7.8
434,UPS SurePost,1,10.23
435,UPS SurePost,1,5.63
436,UPS SurePost,1,8.85
437,UPS SurePost,1,10.93
438,UPS SurePost,1,8.04
439,UPS Ground,1,7.39
440,UPS Ground,1,10.25
441,UPS Ground,1,8.95
442,UPS SurePost,1,10.09
443,UPS Ground,1,8.47
444,UPS SurePost,0,7.66
445,UPS SurePost,1,5.5
446,UPS Ground,1,10.29
447,UPS Ground,1,9.72
448,UPS SurePost,1,6.94
449,UPS Ground,1,10.34
450,UPS SurePost,1,10.78
451,UPS SurePost,1,8.63
452,UPS SurePost,1,9.46
453,UPS SurePost,1,9.47
454,UPS SurePost,1,6.91
455,UPS Ground,1,13.56
456,UPS Ground,1,9.18
457,UPS SurePost,1,10.14
458,UPS SurePost,1,10.33
459,UPS Ground,0,9.76
460,UPS Ground,0,11.05
461,UPS SurePost,1,9.43
462,UPS Ground,1,7.54
463,UPS SurePost,1,8.42
464,UPS Ground,1,8.94
465,UPS SurePost,1,8.2
466,UPS Ground,1,7.74
467,UPS SurePost,1,10.95
468,UPS Ground,1,12.77
469,UPS Ground,1,11.69
470,UPS SurePost,1,11.2
471,UPS Ground,1,9.4
472,UPS SurePost,1,7.9
473,UPS Ground,1,8.65
474,UPS SurePost,1,10.12
475,UPS Ground,1,10.39
476,UPS SurePost,1,8.87
477,UPS Ground,1,12.24
478,UPS SurePost,1,9.7
479,UPS Ground,1,8.55
480,UPS SurePost,1,7.82
481,UPS SurePost,1,10.18
482,UPS SurePost,1,10.8
483,UPS Ground,1,10.96
484,UPS SurePost,1,12.29
485,UPS Ground,1,12.83
486,UPS SurePost,0,9.76
487,UPS Ground,1,8.55
488,UPS SurePost,1,6.73
489,UPS Ground,1,9.33
490,UPS Ground,1,11.3
491,UPS SurePost,1,12.16
492,UPS Ground,1,10.72
493,UPS Ground,1,12.02
494,UPS SurePost,1,8.58
495,UPS Ground,1,11.08
496,UPS Ground,1,11.43
497,UPS Ground,1,6.57
498,UPS SurePost,1,8.28
499,UPS Ground,1,11.64
500,UPS SurePost,1,9.48
501,UPS Ground,1,7.93
502,UPS Ground,1,5.79
503,UPS Ground,1,9.37
504,UPS SurePost,1,8.88
505,UPS Ground,1,8.47
506,UPS Ground,1,10.25
507,UPS SurePost,1,9.88
508,UPS Ground,1,11.16
509,UPS SurePost,1,4.92
510,UPS SurePost,1,6.72
511,UPS Ground,1,9.47
512,UPS SurePost,1,9.99
513,UPS Ground,1,10.85
514,UPS SurePost,1,9.82
515,UPS SurePost,1,8.34
516,UPS Ground,1,9.43
517,UPS SurePost,1,7.74
518,UPS SurePost,1,10.33
519,UPS SurePost,1,7.41
520,UPS SurePost,1,10.47
521,UPS SurePost,1,9.36
522,UPS Ground,1,9.92
523,UPS SurePost,1,7.86
524,UPS Ground,1,7.65
525,UPS SurePost,1,7.88
526,UPS Ground,1,9.43
527,UPS Ground,1,5.9
528,UPS SurePost,1,8.66
529,UPS SurePost,1,10.6
530,UPS SurePost,1,9.98
531,UPS Ground,1,9.14
532,UPS SurePost,1,9.08
533,UPS Ground,1,9.04
534,UPS Ground,1,10.26
535,UPS Ground,1,12.67
536,UPS SurePost,1,10.68
537,UPS SurePost,1,9.9
538,UPS Ground,1,9.15
539,UPS Ground,1,11.3
540,UPS SurePost,1,6.08
541,UPS Ground,1,9.56
542,UPS SurePost,1,10.01
543,UPS Ground,1,11.28
544,UPS SurePost,1,10.16
545,UPS Ground,1,10.51
546,UPS SurePost,1,8.66
547,UPS Ground,1,10.93
548,UPS SurePost,1,7.35
549,UPS SurePost,1,7.54
550,UPS Ground,1,10.11
551,UPS Ground,1,10.3
552,UPS SurePost,1,5.84
553,UPS Ground,1,10.79
554,UPS SurePost,1,10.34
555,UPS Ground,1,9.87
556,UPS SurePost,1,13.11
557,UPS SurePost,1,7.82
558,UPS SurePost,1,8.37
559,UPS SurePost,1,8.32
560,UPS SurePost,1,8.87
561,UPS SurePost,1,8.43
562,UPS Ground,0,7.56
563,UPS Ground,1,9.05
564,UPS Ground,1,9.83
565,UPS SurePost,1,11.13
566,UPS SurePost,1,12.81
567,UPS SurePost,1,11.31
568,UPS SurePost,1,7.66
569,UPS Ground,1,8.79
570,UPS Ground,0,9.72
571,UPS SurePost,0,12.09
572,UPS Ground,1,9.71
573,UPS Ground,1,7.7
574,UPS SurePost,1,8.13
575,UPS Ground,1,11.31
576,UPS SurePost,1,10.2
577,UPS Ground,1,9.65
578,UPS SurePost,0,10.18
579,UPS SurePost,1,5.06
580,UPS SurePost,1,9.18
581,UPS SurePost,1,10.49
582,UPS Ground,1,8.56
583,UPS SurePost,1,7.55
584,UPS SurePost,1,5.77
585,UPS SurePost,1,11.75
586,UPS Ground,1,8.75
587,UPS SurePost,1,9.42
588,UPS Ground,1,11.05
589,UPS SurePost,1,11.62
590,UPS Ground,1,9.73
591,UPS Ground,1,9.07
592,UPS SurePost,1,9.3
593,UPS Ground,1,12.22
594,UPS SurePost,0,8.71
595,UPS SurePost,1,7.35
596,UPS SurePost,1,6.33
597,UPS Ground,1,7.88
598,UPS Ground,1,11.5
599,UPS SurePost,1,8.44
600,UPS SurePost,1,7.95
601,UPS Ground,1,8.76
602,UPS SurePost,1,9.15
603,UPS SurePost,1,8.59
604,UPS SurePost,1,8.53
605,UPS Ground,1,12.34
606,UPS Ground,1,12.66
607,UPS Ground,1,7.21
608,UPS SurePost,1,9.57
609,UPS SurePost,1,7.65
610,UPS SurePost,1,8.57
611,UPS Ground,1,10.54
612,UPS SurePost,1,8.63
613,UPS SurePost,1,9.4
614,UPS SurePost,1,10.17
615,UPS SurePost,1,9.51
616,UPS Ground,1,8.88
617,UPS Ground,1,8.91
618,UPS SurePost,1,6.51
619,UPS Ground,1,8.52
620,UPS Ground,1,13.4
621,UPS SurePost,1,7.63
622,UPS SurePost,1,6.93
623,UPS Ground,1,10.55
624,UPS SurePost,1,8.81
625,UPS Ground,1,9.66
626,UPS SurePost,1,11.44
627,UPS Ground,1,10.95
628,UPS SurePost,1,8.08
629,UPS Ground,1,9.26
630,UPS Ground,1,9.13
631,UPS Ground,1,11.52
632,UPS SurePost,1,8.47
633,UPS Ground,1,6.89
634,UPS Ground,1,9.92
635,UPS SurePost,1,6.34
636,UPS SurePost,1,12.78
637,UPS Ground,1,8.33
638,UPS Ground,1,9.72
639,UPS SurePost,1,9.45
640,UPS SurePost,1,8.5
641,UPS SurePost,1,8.5
642,UPS SurePost,1,9.73
643,UPS SurePost,1,11.64
644,UPS Ground,1,11.33
645,UPS SurePost,1,11.56
646,UPS Ground,1,8.19
647,UPS Ground,1,10.55
648,UPS Ground,1,10.27
649,UPS SurePost,1,9.61
650,UPS Ground,1,12.38
651,UPS Ground,1,9.62
652,UPS SurePost,1,8.3
653,UPS Ground,1,10.92
654,UPS Ground,1,6.92
655,UPS SurePost,1,8.59
656,UPS Ground,1,9.77
657,UPS Ground,1,8.41
658,UPS Ground,1,11.83
659,UPS SurePost,0,7.16
660,UPS SurePost,1,8.76
661,UPS SurePost,1,9.51
662,UPS Ground,1,12.34
663,UPS Ground,1,9.98
664,UPS SurePost,1,10.62
665,UPS Ground,1,11.21
666,UPS Ground,1,10.21
667,UPS SurePost,1,7.11
668,UPS SurePost,1,6.52
669,UPS Ground,1,10.18
670,UPS Ground,1,9.06
671,UPS Ground,1,11.59
672,UPS SurePost,1,10.29
673,UPS SurePost,1,8.68
674,UPS SurePost,1,6.99
675,UPS SurePost,0,9.88
676,UPS Ground,1,8.24
677,UPS SurePost,1,7.69
678,UPS SurePost,1,7.3
679,UPS SurePost,1,8.76
680,UPS SurePost,1,11.03
681,UPS SurePost,1,8.99
682,UPS Ground,1,9.23
683,UPS Ground,1,7.36
684,UPS SurePost,1,9.96
685,UPS Ground,1,8.65
686,UPS SurePost,1,9.2
687,UPS SurePost,1,8.39
688,UPS Ground,1,11.45
689,UPS Ground,1,9.73
690,UPS SurePost,1,8.9
691,UPS SurePost,1,9.84
692,UPS SurePost,1,12.65
693,UPS Ground,1,11.54
694,UPS SurePost,1,8.85
695,UPS SurePost,1,9.01
696,UPS SurePost,1,8.09
697,UPS Ground,1,8.35
698,UPS SurePost,1,8.04
699,UPS SurePost,0,7.66
700,UPS Ground,1,11.13
701,UPS SurePost,1,7.14
702,UPS SurePost,1,11.31
703,UPS Ground,1,11.3
704,UPS SurePost,1,9.04
705,UPS Ground,1,10.0
706,UPS Ground,1,9.03
707,UPS SurePost,1,9.47
708,UPS SurePost,1,10.88
709,UPS SurePost,1,7.78
710,UPS SurePost,1,6.34
711,UPS Ground,1,11.22
712,UPS SurePost,0,9.56
713,UPS Ground,1,8.06
714,UPS SurePost,1,7.73
715,UPS SurePost,1,7.51
716,UPS SurePost,1,7.75
717,UPS Ground,1,9.44
718,UPS SurePost,1,8.54
719,UPS SurePost,1,7.87
720,UPS SurePost,1,7.69
721,UPS SurePost,1,8.6
722,UPS Ground,1,10.29
723,UPS SurePost,1,8.45
724,UPS Ground,1,12.01
725,UPS Ground,1,10.88
726,UPS Ground,1,7.24
727,UPS Ground,1,10.91
728,UPS Ground,1,11.05
729,UPS Ground,1,9.25
730,UPS SurePost,1,6.41
731,UPS Ground,1,10.01
732,UPS Ground,1,9.99
733,UPS Ground,1,8.06
734,UPS SurePost,1,6.49
735,UPS SurePost,1,8.85
736,UPS Ground,1,9.6
737,UPS SurePost,1,8.28
738,UPS Ground,1,9.86
739,UPS Ground,1,8.09
740,UPS SurePost,1,8.25
741,UPS Ground,1,10.92
742,UPS SurePost,1,8.39
743,UPS SurePost,1,6.1
744,UPS Ground,0,9.18
745,UPS Ground,1,8.15
746,UPS SurePost,1,9.46
747,UPS Ground,1,10.55
748,UPS Ground,0,7.13
749,UPS Ground,0,11.31
750,UPS SurePost,1,7.07
751,UPS SurePost,1,11.7
752,UPS Ground,1,9.92
753,UPS SurePost,1,6.84
754,UPS SurePost,1,7.02
755,UPS SurePost,1,9.6
756,UPS SurePost,1,8.32
757,UPS SurePost,1,8.83
758,UPS Ground,1,12.79
759,UPS Ground,1,8.79
760,UPS Ground,1,10.1
761,UPS SurePost,1,11.46
762,UPS SurePost,1,9.47
763,UPS Ground,1,7.22
764,UPS SurePost,1,9.88
765,UPS Ground,1,7.99
766,UPS Ground,1,12.44
767,UPS Ground,1,8.57
768,UPS SurePost,1,14.14
769,UPS SurePost,1,11.54
770,UPS Ground,1,8.62
771,UPS Ground,1,10.03
772,UPS Ground,1,11.31
773,UPS Ground,1,11.36
774,UPS SurePost,1,9.77
775,UPS SurePost,1,11.17
776,UPS Ground,1,9.79
777,UPS Ground,1,9.36
778,UPS SurePost,1,8.4
779,UPS SurePost,1,10.49
780,UPS Ground,1,10.63
781,UPS Ground,1,10.5
782,UPS Ground,1,11.38
783,UPS SurePost,1,5.45
784,UPS SurePost,1,9.54
785,UPS SurePost,1,9.38
786,UPS Ground,1,12.89
787,UPS Ground,1,7.35
788,UPS SurePost,1,11.7
789,UPS SurePost,0,9.13
790,UPS Ground,1,10.85
791,UPS SurePost,1,11.9
792,UPS SurePost,1,9.97
793,UPS Ground,0,10.69
794,UPS SurePost,1,9.42
795,UPS Ground,1,9.16
796,UPS Ground,1,9.95
797,UPS Ground,1,8.76
798,UPS Ground,0,9.92
799,UPS Ground,0,5.95
800,UPS Ground,1,10.74
801,UPS Ground,1,9.79
802,UPS SurePost,1,8.42
803,UPS Ground,1,10.38
804,UPS Ground,1,7.52
805,UPS SurePost,1,12.34
806,UPS SurePost,1,8.82
807,UPS SurePost,1,8.75
808,UPS Ground,0,8.33
809,UPS SurePost,1,9.04
810,UPS Ground,1,12.4
811,UPS Ground,1,11.79
812,UPS Ground,0,11.48
813,UPS Ground,1,10.95
814,UPS SurePost,1,8.38
815,UPS SurePost,1,6.49
816,UPS Ground,1,9.65
817,UPS Ground,1,9.59
818,UPS Ground,1,11.82
819,UPS SurePost,1,9.54
820,UPS Ground,1,12.79
821,UPS Ground,1,12.07
822,UPS SurePost,1,8.21
823,UPS SurePost,1,5.89
824,UPS Ground,1,12.4
825,UPS SurePost,1,11.35
826,UPS SurePost,1,6.63
827,UPS Ground,1,12.61
828,UPS SurePost,1,9.66
829,UPS Ground,1,10.28
830,UPS SurePost,1,11.8
831,UPS Ground,0,12.33
832,UPS Ground,1,11.13
833,UPS Ground,1,10.82
834,UPS SurePost,1,10.07
835,UPS Ground,1,9.31
836,UPS SurePost,1,8.9
837,UPS Ground,1,8.44
838,UPS Ground,1,9.42
839,UPS SurePost,1,8.36
840,UPS Ground,1,8.9
841,UPS Ground,1,10.24
842,UPS SurePost,1,8.44
843,UPS Ground,1,10.87
844,UPS Ground,1,7.19
845,UPS Ground,1,9.8
846,UPS Ground,1,10.23
847,UPS SurePost,1,8.46
848,UPS SurePost,1,8.7
849,UPS Ground,1,7.25
850,UPS SurePost,1,9.62
851,UPS Ground,1,11.12
852,UPS SurePost,0,9.85
853,UPS Ground,1,11.8
854,UPS Ground,1,10.35
855,UPS Ground,1,10.83
856,UPS Ground,1,10.27
857,UPS Ground,1,11.19
858,UPS Ground,1,7.27
859,UPS SurePost,1,7.45
860,UPS Ground,1,12.75
861,UPS SurePost,1,4.74
862,UPS Ground,1,9.76
863,UPS SurePost,1,11.03
864,UPS SurePost,1,8.84
865,UPS SurePost,1,8.3
866,UPS Ground,1,10.22
867,UPS Ground,1,9.39
868,UPS SurePost,1,9.05
869,UPS Ground,1,8.82
870,UPS SurePost,1,10.92
871,UPS Ground,1,12.47
872,UPS SurePost,1,8.77
873,UPS SurePost,1,6.6
874,UPS Ground,1,9.09
875,UPS SurePost,1,8.68
876,UPS Ground,1,10.88
877,UPS SurePost,1,7.25
878,UPS SurePost,1,7.67
879,UPS Ground,1,10.88
880,UPS Ground,1,11.63
881,UPS Ground,1,8.92
882,UPS SurePost,1,6.69
883,UPS Ground,1,15.69
884,UPS SurePost,0,10.36
885,UPS SurePost,1,8.54
886,UPS Ground,1,11.51
887,UPS Ground,1,9.78
888,UPS SurePost,1,10.5
889,UPS SurePost,1,9.28
890,UPS Ground,1,10.16
891,UPS Ground,1,9.8
892,UPS Ground,1,7.49
893,UPS Ground,1,13.36
894,UPS Ground,1,8.37
895,UPS SurePost,1,6.64
896,UPS SurePost,1,8.63
897,UPS SurePost,1,7.33
898,UPS SurePost,1,8.91
899,UPS Ground,0,11.19
